PacketDropQueue Network.nodeTx.queue (#0 - General-0-20230516-03:28:02-4649),,PacketDropQueue Network.queue (#0 - General-0-20230516-03:28:02-4649),,PacketDropQueue Network.nodeRx.queue (#0 - General-0-20230516-03:28:02-4649),,PacketGen Network.nodeTx.gen (#0 - General-0-20230516-03:28:02-4649),,BufferSizeQueue Network.nodeTx.queue (#0 - General-0-20230516-03:28:02-4649),,BufferSizeQueue Network.queue (#0 - General-0-20230516-03:28:02-4649),,BufferSizeQueue Network.nodeRx.queue (#0 - General-0-20230516-03:28:02-4649),,Delay Network.nodeRx.sink (#0 - General-0-20230516-03:28:02-4649),,PacketUsed Network.nodeRx.sink (#0 - General-0-20230516-03:28:02-4649),
,,,,146.504339930335,1,6.376115998192,1,6.376115998192,1,6.476215998192,1,6.576315998192,7,8.15291074958,1.776794751388000018,8.15291074958,1
,,,,146.704339930335,1,6.682249830579,1,6.682249830579,1,6.782349830579,1,6.882449830579,7,8.35291074958,1.670660919000999991,8.35291074958,1
,,,,146.904339930335,1,7.25903311095,1,7.25903311095,1,7.35913311095,1,7.45923311095,5,8.55291074958,1.293877638629999708,8.55291074958,1
,,,,149.516240710613,1,7.355289486852,1,7.355289486852,1,7.45913311095,1,7.55923311095,5,8.75291074958,1.397621262727999796,8.75291074958,1
,,,,149.716240710613,1,7.596075420411,1,7.596075420411,1,7.696175420411,1,7.796275420411,5,8.95291074958,1.356835329168999843,8.95291074958,1
,,,,151.510296590759,1,7.838175731645,1,7.838175731645,1,7.938275731645,1,8.038375731645,5,9.15291074958,1.314735017934999912,9.15291074958,1
,,,,151.895259899842,1,7.931015150589,1,7.931015150589,1,8.038275731645,1,8.138375731645,6,9.35291074958,1.421895598991000038,9.35291074958,1
,,,,152.319375091895,1,8.041259813767,1,8.041259813767,1,8.141359813767,1,8.241459813767,6,9.55291074958,1.51165093581299991,9.55291074958,1
,,,,152.531708775902,1,8.268740209866,1,8.268740209866,1,8.368840209866,1,8.468940209866,6,9.75291074958,1.484170539713999918,9.75291074958,1
,,,,152.87908802731,1,8.439131051123,1,8.439131051123,1,8.539231051123,1,8.639331051123,6,9.95291074958,1.513779698456999772,9.95291074958,1
,,,,155.101866993497,1,8.458012212539,1,8.458012212539,1,8.639231051123,1,8.739331051123,7,10.15291074958,1.694898537040999901,10.15291074958,1
,,,,155.301866993497,1,8.649296367873,1,8.649296367873,1,8.749396367873,1,8.849496367873,7,10.35291074958,1.70361438170699974,10.35291074958,1
,,,,155.501866993497,1,8.802511149025,1,8.802511149025,1,8.902611149025,1,9.002711149025,7,10.55291074958,1.750399600554999762,10.55291074958,1
,,,,155.903664179366,1,8.933359328281,1,8.933359328281,1,9.033459328281,1,9.133559328281,8,10.75291074958,1.819551421298999822,10.75291074958,1
,,,,158.083936405815,1,8.956568780356,1,8.956568780356,1,9.133459328281,1,9.233559328281,8,10.95291074958,1.996341969223999862,10.95291074958,1
,,,,158.283936405815,1,9.072193979126,1,9.072193979126,1,9.233459328281,1,9.333559328281,9,11.15291074958,2.080716770453999932,11.15291074958,1
,,,,158.514297803884,1,9.506357050824,1,9.506357050824,1,9.606457050824,1,9.706557050824,8,11.35291074958,1.846553698755999831,11.35291074958,1
,,,,158.855960577016,1,9.719561752838,1,9.719561752838,1,9.819661752838,1,9.919761752838,8,11.55291074958,1.833348996742000018,11.55291074958,1
,,,,159.055960577016,1,9.830235846601,1,9.830235846601,1,9.930335846601,1,10.030435846601,8,11.75291074958,1.922674902978999781,11.75291074958,1
,,,,159.255960577016,1,9.847027770696,1,9.847027770696,1,10.030335846601,1,10.130435846601,9,11.95291074958,2.105882978883999878,11.95291074958,1
,,,,159.455960577016,1,9.92736262873,1,9.92736262873,2,10.130335846601,1,10.230435846601,9,12.15291074958,2.225548120850000082,12.15291074958,1
